,trace_id,event_id,resource,timestamp,resource
56,Case98,0,Value 1,2012-07-05 09:16:51+00:00,Value 1
57,Case98,1,Value 1,2012-07-05 09:20:39+00:00,Value 1
58,Case100,0,Value 1,2013-04-12 07:25:17+00:00,Value 1
59,Case105,0,Value 1,2012-11-20 07:00:13+00:00,Value 1
60,Case106,0,Value 1,2013-02-15 11:12:20+00:00,Value 1
61,Case106,1,Value 1,2013-03-05 06:06:13+00:00,Value 1
62,Case112,0,Value 1,2011-10-06 04:50:55+00:00,Value 1
63,Case114,0,Value 1,2013-09-11 09:51:59+00:00,Value 1
64,Case114,1,Value 1,2013-09-11 09:52:24+00:00,Value 1
65,Case114,3,Value 1,2013-10-01 09:14:10+00:00,Value 1
66,Case114,4,Value 1,2013-10-07 04:20:45+00:00,Value 1
67,Case114,5,Value 1,2013-10-07 07:35:46+00:00,Value 1
68,Case115,0,Value 1,2013-02-14 09:54:22+00:00,Value 1
69,Case124,0,Value 1,2012-06-07 12:31:32+00:00,Value 1
70,Case128,0,Value 1,2011-11-28 06:10:27+00:00,Value 1
71,Case128,1,Value 1,2011-11-28 07:46:59+00:00,Value 1
72,Case128,2,Value 1,2011-11-28 07:46:59+00:00,Value 1
73,Case129,0,Value 1,2013-04-05 13:15:52+00:00,Value 1
74,Case129,1,Value 1,2013-04-23 12:50:35+00:00,Value 1
75,Case132,0,Value 1,2012-06-21 09:50:46+00:00,Value 1
76,Case142,0,Value 1,2012-03-07 09:00:05+00:00,Value 1
77,Case145,1,Value 1,2013-08-21 05:58:38+00:00,Value 1
78,Case145,2,Value 1,2013-08-23 09:54:00+00:00,Value 1
79,Case145,3,Value 1,2013-08-23 10:24:54+00:00,Value 1
80,Case145,4,Value 1,2013-09-09 12:32:15+00:00,Value 1
81,Case148,0,Value 1,2012-01-09 09:19:35+00:00,Value 1
82,Case148,1,Value 1,2012-01-09 14:14:26+00:00,Value 1
83,Case148,2,Value 1,2012-01-09 14:14:53+00:00,Value 1
84,Case148,3,Value 1,2012-01-09 14:14:53+00:00,Value 1
85,Case152,0,Value 1,2012-05-18 09:08:58+00:00,Value 1
86,Case159,0,Value 1,2011-09-21 04:12:16+00:00,Value 1
87,Case162,0,Value 1,2011-10-04 12:47:43+00:00,Value 1
88,Case167,0,Value 1,2011-11-23 12:43:38+00:00,Value 1
89,Case167,1,Value 1,2011-11-25 08:12:19+00:00,Value 1
90,Case167,2,Value 1,2011-11-25 12:01:18+00:00,Value 1
91,Case167,3,Value 1,2011-11-28 07:25:00+00:00,Value 1
92,Case167,4,Value 1,2011-11-28 07:25:02+00:00,Value 1
93,Case168,0,Value 1,2012-01-09 08:01:47+00:00,Value 1
94,Case169,0,Value 1,2013-01-28 15:05:44+00:00,Value 1
95,Case170,0,Value 1,2012-05-02 12:54:51+00:00,Value 1
96,Case176,0,Value 1,2012-07-17 07:44:26+00:00,Value 1
97,Case176,1,Value 1,2012-07-17 07:44:48+00:00,Value 1
98,Case177,0,Value 1,2012-01-18 06:12:04+00:00,Value 1
99,Case177,1,Value 1,2012-01-18 06:21:52+00:00,Value 1
100,Case177,2,Value 1,2012-01-18 07:42:03+00:00,Value 1
101,Case178,0,Value 1,2012-02-22 12:49:43+00:00,Value 1
102,Case178,1,Value 1,2012-02-22 12:49:52+00:00,Value 1
103,Case178,2,Value 1,2012-02-29 07:36:49+00:00,Value 1
104,Case179,0,Value 1,2012-04-11 10:30:07+00:00,Value 1
105,Case180,0,Value 1,2011-10-06 07:23:22+00:00,Value 1
106,Case180,1,Value 1,2011-10-06 11:07:44+00:00,Value 1
107,Case180,2,Value 1,2011-10-06 11:31:30+00:00,Value 1
108,Case181,0,Value 1,2011-09-29 06:51:55+00:00,Value 1
109,Case192,2,Value 1,2013-07-04 07:10:10+00:00,Value 1
110,Case192,3,Value 1,2013-07-18 10:02:35+00:00,Value 1
111,Case193,0,Value 1,2013-04-12 04:32:41+00:00,Value 1
112,Case194,0,Value 1,2012-02-08 09:28:03+00:00,Value 1
113,Case196,0,Value 1,2011-11-16 08:45:30+00:00,Value 1
114,Case196,1,Value 1,2011-11-17 11:31:33+00:00,Value 1
115,Case196,2,Value 1,2011-11-17 11:32:09+00:00,Value 1
116,Case197,0,Value 1,2012-06-01 05:18:57+00:00,Value 1
117,Case199,0,Value 1,2011-12-13 13:45:50+00:00,Value 1
118,Case199,1,Value 1,2011-12-14 08:27:28+00:00,Value 1
119,Case200,0,Value 1,2012-04-12 11:59:24+00:00,Value 1
120,Case204,0,Value 1,2011-10-31 13:30:39+00:00,Value 1
121,Case204,1,Value 1,2011-10-31 13:30:50+00:00,Value 1
122,Case204,2,Value 1,2011-11-02 11:41:11+00:00,Value 1
123,Case219,0,Value 1,2011-11-11 08:10:51+00:00,Value 1
124,Case219,1,Value 1,2011-11-11 08:52:25+00:00,Value 1
125,Case219,2,Value 1,2011-11-15 06:46:26+00:00,Value 1
126,Case219,3,Value 1,2011-11-15 06:47:32+00:00,Value 1
127,Case219,4,Value 1,2011-11-15 06:47:33+00:00,Value 1
128,Case223,0,Value 1,2012-03-15 11:28:02+00:00,Value 1
129,Case223,1,Value 1,2012-03-16 09:30:26+00:00,Value 1
130,Case223,2,Value 1,2012-03-16 13:29:01+00:00,Value 1
131,Case223,3,Value 1,2012-03-16 13:29:02+00:00,Value 1
132,Case229,0,Value 1,2011-11-23 07:44:28+00:00,Value 1
133,Case233,0,Value 1,2012-10-19 06:25:05+00:00,Value 1
134,Case237,2,Value 1,2013-08-28 10:00:20+00:00,Value 1
135,Case237,3,Value 1,2013-08-30 05:10:30+00:00,Value 1
136,Case241,0,Value 1,2012-05-17 12:53:08+00:00,Value 1
137,Case251,0,Value 1,2012-06-26 11:50:34+00:00,Value 1
138,Case262,0,Value 1,2013-01-29 14:05:40+00:00,Value 1
139,Case263,0,Value 1,2011-12-28 14:51:52+00:00,Value 1
140,Case266,1,Value 1,2012-06-20 04:11:19+00:00,Value 1
141,Case266,2,Value 1,2012-06-20 04:11:20+00:00,Value 1
142,Case272,0,Value 1,2012-01-25 05:58:57+00:00,Value 1
143,Case274,0,Value 1,2012-04-20 07:47:22+00:00,Value 1
144,Case277,0,Value 1,2012-03-13 07:47:21+00:00,Value 1
145,Case282,0,Value 1,2013-08-21 12:30:41+00:00,Value 1
146,Case283,0,Value 1,2012-06-12 06:18:08+00:00,Value 1
147,Case285,0,Value 1,2012-05-02 07:41:57+00:00,Value 1
148,Case288,0,Value 1,2011-11-17 07:35:43+00:00,Value 1
149,Case288,1,Value 1,2011-11-17 07:36:01+00:00,Value 1
150,Case288,2,Value 1,2011-11-17 12:00:05+00:00,Value 1
151,Case290,2,Value 1,2012-02-29 13:31:24+00:00,Value 1
152,Case290,3,Value 1,2012-02-29 13:31:28+00:00,Value 1
153,Case293,0,Value 1,2012-07-27 10:10:43+00:00,Value 1
154,Case300,0,Value 1,2012-03-21 14:34:29+00:00,Value 1
155,Case300,1,Value 1,2012-03-21 14:34:39+00:00,Value 1
156,Case300,2,Value 1,2012-03-26 07:31:22+00:00,Value 1
157,Case304,0,Value 1,2011-10-05 12:48:23+00:00,Value 1
158,Case307,0,Value 1,2012-06-22 05:02:35+00:00,Value 1
159,Case309,0,Value 1,2012-07-20 04:01:09+00:00,Value 1
160,Case309,1,Value 1,2012-07-23 11:08:08+00:00,Value 1
161,Case309,2,Value 1,2012-07-23 11:21:41+00:00,Value 1
162,Case312,0,Value 1,2012-07-18 07:56:55+00:00,Value 1
163,Case313,0,Value 1,2013-04-03 11:32:41+00:00,Value 1
164,Case317,0,Value 1,2013-09-24 04:24:55+00:00,Value 1
165,Case317,1,Value 1,2013-09-24 04:25:43+00:00,Value 1
166,Case317,3,Value 1,2013-10-18 12:30:47+00:00,Value 1
167,Case324,0,Value 1,2012-09-06 05:45:04+00:00,Value 1
168,Case324,1,Value 1,2012-09-24 07:34:43+00:00,Value 1
169,Case328,0,Value 1,2012-01-10 07:59:44+00:00,Value 1
170,Case328,1,Value 1,2012-01-10 07:59:56+00:00,Value 1
171,Case328,2,Value 1,2012-01-10 09:07:13+00:00,Value 1
172,Case329,0,Value 1,2011-10-28 08:03:05+00:00,Value 1
173,Case329,3,Value 1,2011-11-16 09:49:39+00:00,Value 1
174,Case331,0,Value 1,2013-02-22 12:47:28+00:00,Value 1
175,Case333,2,Value 1,2013-06-24 06:02:49+00:00,Value 1
176,Case333,3,Value 1,2013-07-03 04:27:14+00:00,Value 1
177,Case336,0,Value 1,2012-04-20 07:54:26+00:00,Value 1
178,Case336,1,Value 1,2012-04-20 07:54:41+00:00,Value 1
179,Case337,2,Value 1,2013-07-31 09:54:35+00:00,Value 1
180,Case340,0,Value 1,2012-03-06 09:18:20+00:00,Value 1
181,Case344,0,Value 1,2012-01-19 15:02:37+00:00,Value 1
182,Case344,1,Value 1,2012-01-19 15:02:55+00:00,Value 1
183,Case345,0,Value 1,2013-11-22 09:48:57+00:00,Value 1
184,Case345,1,Value 1,2013-11-25 06:11:48+00:00,Value 1
185,Case345,2,Value 1,2013-12-10 06:13:28+00:00,Value 1
186,Case348,0,Value 1,2013-02-06 12:55:39+00:00,Value 1
187,Case349,0,Value 1,2013-02-21 08:59:33+00:00,Value 1
188,Case349,3,Value 1,2013-03-12 06:16:51+00:00,Value 1
189,Case350,0,Value 1,2011-12-28 11:37:00+00:00,Value 1
190,Case352,0,Value 1,2012-05-08 07:48:14+00:00,Value 1
191,Case352,1,Value 1,2012-05-08 07:48:50+00:00,Value 1
192,Case352,2,Value 1,2012-05-08 07:48:51+00:00,Value 1
193,Case356,0,Value 1,2012-06-19 10:23:59+00:00,Value 1
194,Case357,0,Value 1,2012-07-11 11:50:14+00:00,Value 1
195,Case362,0,Value 1,2012-02-23 07:45:01+00:00,Value 1
196,Case362,1,Value 1,2012-03-12 13:06:36+00:00,Value 1
197,Case364,0,Value 1,2013-10-18 12:14:39+00:00,Value 1
198,Case364,2,Value 1,2013-10-22 09:22:47+00:00,Value 1
199,Case366,0,Value 1,2012-07-10 11:42:22+00:00,Value 1
200,Case366,1,Value 1,2012-07-10 11:42:32+00:00,Value 1
201,Case366,2,Value 1,2012-07-12 06:22:46+00:00,Value 1
202,Case370,0,Value 1,2013-02-07 07:15:32+00:00,Value 1
203,Case371,0,Value 1,2012-01-26 08:51:34+00:00,Value 1
204,Case371,1,Value 1,2012-01-26 08:51:43+00:00,Value 1
205,Case371,2,Value 1,2012-01-26 09:56:27+00:00,Value 1
206,Case373,0,Value 1,2011-12-16 11:58:26+00:00,Value 1
207,Case374,0,Value 1,2012-12-04 11:37:06+00:00,Value 1
208,Case374,2,Value 1,2012-12-06 08:52:18+00:00,Value 1
209,Case374,3,Value 1,2013-01-11 14:56:00+00:00,Value 1
210,Case375,0,Value 1,2012-05-10 09:25:17+00:00,Value 1
211,Case375,1,Value 1,2012-05-10 09:25:31+00:00,Value 1
212,Case375,2,Value 1,2012-05-10 09:30:11+00:00,Value 1
213,Case378,0,Value 1,2012-12-14 13:03:52+00:00,Value 1
214,Case381,0,Value 1,2012-04-12 05:19:28+00:00,Value 1
215,Case381,1,Value 1,2012-04-12 05:19:36+00:00,Value 1
216,Case381,2,Value 1,2012-04-16 12:29:50+00:00,Value 1
217,Case382,2,Value 1,2013-11-25 11:46:01+00:00,Value 1
218,Case382,3,Value 1,2013-11-26 11:15:58+00:00,Value 1
219,Case382,4,Value 1,2013-12-06 06:37:53+00:00,Value 1
220,Case382,5,Value 1,2013-12-23 06:10:29+00:00,Value 1
221,Case383,0,Value 1,2012-12-21 11:59:04+00:00,Value 1
222,Case387,0,Value 1,2011-12-14 10:05:52+00:00,Value 1
223,Case387,1,Value 1,2011-12-14 10:05:59+00:00,Value 1
224,Case387,2,Value 1,2011-12-22 08:50:39+00:00,Value 1
225,Case387,3,Value 1,2011-12-22 08:50:40+00:00,Value 1
226,Case391,0,Value 1,2011-09-15 06:30:24+00:00,Value 1
227,Case391,1,Value 1,2011-09-16 11:54:21+00:00,Value 1
228,Case391,2,Value 1,2011-09-20 05:21:04+00:00,Value 1
229,Case392,0,Value 1,2012-03-12 07:57:46+00:00,Value 1
230,Case394,0,Value 1,2012-01-12 10:02:38+00:00,Value 1
231,Case395,0,Value 1,2011-12-15 08:32:48+00:00,Value 1
232,Case395,1,Value 1,2011-12-15 08:32:56+00:00,Value 1
233,Case395,2,Value 1,2011-12-15 08:49:44+00:00,Value 1
234,Case397,0,Value 1,2012-08-02 12:00:24+00:00,Value 1
235,Case398,0,Value 1,2012-01-25 06:03:28+00:00,Value 1
236,Case399,0,Value 1,2012-12-21 11:38:29+00:00,Value 1
237,Case400,0,Value 1,2011-09-22 06:13:24+00:00,Value 1
238,Case405,0,Value 1,2012-01-20 06:17:51+00:00,Value 1
239,Case405,1,Value 1,2012-01-20 06:18:14+00:00,Value 1
240,Case405,2,Value 1,2012-01-23 08:24:09+00:00,Value 1
241,Case405,3,Value 1,2012-01-23 08:34:09+00:00,Value 1
242,Case407,2,Value 1,2013-10-28 11:33:38+00:00,Value 1
243,Case407,3,Value 1,2013-11-05 14:13:13+00:00,Value 1
244,Case408,0,Value 1,2013-01-24 11:49:47+00:00,Value 1
245,Case413,0,Value 1,2011-09-21 06:45:40+00:00,Value 1
246,Case413,1,Value 1,2011-09-23 06:20:13+00:00,Value 1
247,Case413,2,Value 1,2011-09-23 06:20:34+00:00,Value 1
248,Case413,3,Value 1,2011-10-13 13:02:38+00:00,Value 1
249,Case413,4,Value 1,2011-10-13 13:02:41+00:00,Value 1
250,Case414,0,Value 1,2013-02-01 09:36:02+00:00,Value 1
251,Case414,3,Value 1,2013-02-18 08:50:51+00:00,Value 1
252,Case415,2,Value 1,2012-03-21 13:23:54+00:00,Value 1
253,Case415,3,Value 1,2012-03-21 13:23:55+00:00,Value 1
254,Case418,0,Value 1,2012-05-04 12:26:19+00:00,Value 1
255,Case424,0,Value 1,2012-06-15 12:30:23+00:00,Value 1
256,Case424,1,Value 1,2012-06-15 12:30:32+00:00,Value 1
257,Case424,2,Value 1,2012-06-18 07:10:31+00:00,Value 1
258,Case424,3,Value 1,2012-06-18 07:10:31+00:00,Value 1
259,Case432,0,Value 1,2011-09-30 05:48:55+00:00,Value 1
260,Case435,0,Value 1,2012-10-10 09:23:01+00:00,Value 1
261,Case437,0,Value 1,2011-11-11 08:35:35+00:00,Value 1
262,Case438,2,Value 1,2013-12-16 14:08:31+00:00,Value 1
263,Case438,3,Value 1,2013-12-17 08:58:27+00:00,Value 1
264,Case438,4,Value 1,2013-12-17 12:58:10+00:00,Value 1
265,Case441,0,Value 1,2013-09-20 07:16:35+00:00,Value 1
266,Case447,0,Value 1,2013-03-13 15:27:23+00:00,Value 1
267,Case447,1,Value 1,2013-03-29 08:28:24+00:00,Value 1
268,Case448,0,Value 1,2012-06-12 12:20:01+00:00,Value 1
269,Case453,0,Value 1,2012-05-23 04:56:57+00:00,Value 1
270,Case453,1,Value 1,2012-05-23 04:57:05+00:00,Value 1
271,Case453,2,Value 1,2012-05-25 09:31:15+00:00,Value 1
272,Case453,3,Value 1,2012-05-25 09:31:15+00:00,Value 1
273,Case454,0,Value 1,2011-11-08 13:52:09+00:00,Value 1
274,Case454,1,Value 1,2011-11-08 13:52:23+00:00,Value 1
275,Case454,2,Value 1,2011-11-08 14:20:00+00:00,Value 1
276,Case457,0,Value 1,2011-12-07 09:31:32+00:00,Value 1
277,Case458,0,Value 1,2012-07-20 07:19:26+00:00,Value 1
278,Case459,0,Value 1,2011-10-05 05:52:36+00:00,Value 1
279,Case461,0,Value 1,2012-03-28 06:02:20+00:00,Value 1
280,Case462,0,Value 1,2012-05-15 05:39:10+00:00,Value 1
281,Case462,1,Value 1,2012-05-15 05:39:18+00:00,Value 1
282,Case462,2,Value 1,2012-05-15 12:46:35+00:00,Value 1
283,Case462,3,Value 1,2012-06-01 09:07:34+00:00,Value 1
284,Case463,0,Value 1,2011-11-10 07:20:49+00:00,Value 1
285,Case463,1,Value 1,2011-11-10 07:21:08+00:00,Value 1
286,Case464,0,Value 1,2011-10-07 05:30:01+00:00,Value 1
287,Case467,0,Value 1,2013-08-30 12:22:29+00:00,Value 1
288,Case467,2,Value 1,2013-09-17 04:29:12+00:00,Value 1
289,Case467,3,Value 1,2013-09-26 05:09:19+00:00,Value 1
290,Case467,4,Value 1,2013-09-30 07:41:33+00:00,Value 1
291,Case467,5,Value 1,2013-10-04 12:03:32+00:00,Value 1
292,Case477,0,Value 1,2012-01-04 06:34:18+00:00,Value 1
293,Case477,1,Value 1,2012-01-04 06:34:29+00:00,Value 1
294,Case477,2,Value 1,2012-01-04 07:17:14+00:00,Value 1
295,Case479,0,Value 1,2012-05-15 12:30:10+00:00,Value 1
296,Case479,1,Value 1,2012-05-16 04:06:18+00:00,Value 1
297,Case480,0,Value 1,2012-11-16 13:18:49+00:00,Value 1
298,Case482,0,Value 1,2012-07-27 11:35:58+00:00,Value 1
299,Case482,1,Value 1,2012-07-30 05:24:22+00:00,Value 1
300,Case482,2,Value 1,2012-07-30 05:24:22+00:00,Value 1
301,Case488,0,Value 1,2011-09-20 04:40:54+00:00,Value 1
302,Case491,0,Value 1,2012-04-12 12:45:56+00:00,Value 1
303,Case492,0,Value 1,2012-05-30 12:38:32+00:00,Value 1
304,Case493,0,Value 1,2011-12-22 14:48:48+00:00,Value 1
305,Case495,0,Value 1,2012-07-19 12:51:08+00:00,Value 1
306,Case495,1,Value 1,2012-07-19 12:51:21+00:00,Value 1
307,Case495,2,Value 1,2012-07-20 11:06:41+00:00,Value 1
308,Case498,0,Value 1,2012-09-14 04:17:52+00:00,Value 1
309,Case498,1,Value 1,2012-09-14 04:18:18+00:00,Value 1
310,Case506,0,Value 1,2012-12-18 12:44:59+00:00,Value 1
311,Case506,1,Value 1,2013-01-03 06:34:01+00:00,Value 1
312,Case506,2,Value 1,2013-01-03 06:37:43+00:00,Value 1
313,Case506,3,Value 1,2013-01-14 12:38:27+00:00,Value 1
314,Case510,0,Value 1,2012-07-16 11:00:44+00:00,Value 1
315,Case510,1,Value 1,2012-07-16 11:00:55+00:00,Value 1
316,Case510,2,Value 1,2012-07-23 09:56:58+00:00,Value 1
317,Case510,3,Value 1,2012-08-27 05:28:28+00:00,Value 1
318,Case511,0,Value 1,2012-04-20 10:48:18+00:00,Value 1
319,Case512,0,Value 1,2011-10-06 07:16:56+00:00,Value 1
320,Case514,0,Value 1,2011-12-27 09:54:23+00:00,Value 1
321,Case514,1,Value 1,2011-12-27 13:39:22+00:00,Value 1
322,Case515,0,Value 1,2011-10-20 05:41:43+00:00,Value 1
323,Case515,1,Value 1,2011-10-20 05:42:26+00:00,Value 1
324,Case515,2,Value 1,2011-10-20 12:46:08+00:00,Value 1
325,Case519,0,Value 1,2012-06-08 05:31:56+00:00,Value 1
326,Case519,1,Value 1,2012-06-08 05:32:05+00:00,Value 1
327,Case519,2,Value 1,2012-06-08 05:40:26+00:00,Value 1
328,Case520,0,Value 1,2012-09-28 10:55:43+00:00,Value 1
329,Case521,0,Value 1,2012-01-09 08:49:13+00:00,Value 1
330,Case523,0,Value 1,2013-07-16 07:27:47+00:00,Value 1
331,Case523,1,Value 1,2013-07-18 10:43:33+00:00,Value 1
332,Case523,2,Value 1,2013-08-01 12:23:24+00:00,Value 1
333,Case524,0,Value 1,2011-12-20 12:30:10+00:00,Value 1
334,Case526,0,Value 1,2012-03-05 06:10:32+00:00,Value 1
335,Case527,2,Value 1,2013-02-21 06:18:56+00:00,Value 1
336,Case527,3,Value 1,2013-02-21 06:19:02+00:00,Value 1
337,Case528,0,Value 1,2012-06-20 04:49:20+00:00,Value 1
338,Case528,1,Value 1,2012-06-20 04:49:37+00:00,Value 1
339,Case528,2,Value 1,2012-06-26 05:43:45+00:00,Value 1
340,Case529,0,Value 1,2013-02-12 12:11:11+00:00,Value 1
341,Case529,1,Value 1,2013-02-14 09:42:21+00:00,Value 1
342,Case531,0,Value 1,2011-12-05 14:00:57+00:00,Value 1
343,Case531,1,Value 1,2011-12-06 06:17:04+00:00,Value 1
344,Case531,2,Value 1,2011-12-12 12:49:16+00:00,Value 1
345,Case532,3,Value 1,2013-03-13 08:56:48+00:00,Value 1
346,Case533,0,Value 1,2012-07-31 11:33:16+00:00,Value 1
347,Case535,0,Value 1,2011-12-07 09:06:05+00:00,Value 1
348,Case535,2,Value 1,2011-12-13 12:22:01+00:00,Value 1
349,Case537,0,Value 1,2012-06-01 07:32:53+00:00,Value 1
350,Case537,1,Value 1,2012-06-01 07:33:15+00:00,Value 1
351,Case537,2,Value 1,2012-06-01 09:43:57+00:00,Value 1
352,Case537,3,Value 1,2012-06-26 07:29:03+00:00,Value 1
353,Case538,1,Value 1,2012-02-08 13:35:36+00:00,Value 1
354,Case538,2,Value 1,2012-02-08 13:37:34+00:00,Value 1
355,Case541,0,Value 1,2012-05-15 04:08:40+00:00,Value 1
356,Case542,0,Value 1,2011-09-26 12:22:22+00:00,Value 1
357,Case543,0,Value 1,2011-12-01 13:29:00+00:00,Value 1
358,Case544,0,Value 1,2012-01-11 08:42:25+00:00,Value 1
359,Case544,1,Value 1,2012-01-11 12:15:21+00:00,Value 1
360,Case544,2,Value 1,2012-01-11 12:21:45+00:00,Value 1
361,Case545,0,Value 1,2012-02-29 11:58:38+00:00,Value 1
362,Case551,0,Value 1,2012-07-18 07:53:53+00:00,Value 1
363,Case553,0,Value 1,2013-02-21 09:41:39+00:00,Value 1
364,Case554,1,Value 1,2013-03-18 13:57:40+00:00,Value 1
365,Case556,0,Value 1,2012-07-05 06:23:18+00:00,Value 1
366,Case556,1,Value 1,2012-07-05 06:44:30+00:00,Value 1
367,Case557,0,Value 1,2013-02-26 15:02:16+00:00,Value 1
368,Case561,0,Value 1,2012-05-31 11:44:00+00:00,Value 1
369,Case565,0,Value 1,2012-07-16 04:02:05+00:00,Value 1
370,Case565,1,Value 1,2012-07-16 04:02:21+00:00,Value 1
371,Case565,2,Value 1,2012-07-17 10:16:36+00:00,Value 1
372,Case565,3,Value 1,2012-07-18 12:44:22+00:00,Value 1
373,Case566,2,Value 1,2013-01-07 09:29:05+00:00,Value 1
374,Case566,3,Value 1,2013-01-07 11:15:40+00:00,Value 1
375,Case566,4,Value 1,2013-01-07 14:40:47+00:00,Value 1
376,Case566,5,Value 1,2013-01-08 07:01:01+00:00,Value 1
377,Case570,0,Value 1,2012-05-29 10:05:16+00:00,Value 1
378,Case570,1,Value 1,2012-05-29 10:37:40+00:00,Value 1
379,Case570,2,Value 1,2012-05-29 12:20:39+00:00,Value 1
380,Case573,0,Value 1,2012-07-30 04:06:46+00:00,Value 1
381,Case573,1,Value 1,2012-07-30 04:07:07+00:00,Value 1
382,Case573,2,Value 1,2012-07-30 05:48:00+00:00,Value 1
383,Case583,0,Value 1,2012-06-05 12:26:52+00:00,Value 1
384,Case586,0,Value 1,2012-07-24 12:42:04+00:00,Value 1
385,Case589,0,Value 1,2012-07-20 07:02:52+00:00,Value 1
386,Case595,2,Value 1,2013-11-25 11:47:37+00:00,Value 1
387,Case595,3,Value 1,2013-12-19 11:20:46+00:00,Value 1
388,Case600,0,Value 1,2012-07-03 11:03:26+00:00,Value 1
389,Case603,0,Value 1,2013-01-21 06:08:20+00:00,Value 1
390,Case603,1,Value 1,2013-01-28 14:05:48+00:00,Value 1
391,Case603,2,Value 1,2013-02-15 06:05:19+00:00,Value 1
392,Case603,3,Value 1,2013-02-15 06:05:20+00:00,Value 1
393,Case606,0,Value 1,2013-04-05 13:13:54+00:00,Value 1
394,Case613,0,Value 1,2012-07-27 11:39:25+00:00,Value 1
395,Case614,0,Value 1,2012-07-11 12:35:34+00:00,Value 1
396,Case618,0,Value 1,2012-01-30 14:21:12+00:00,Value 1
397,Case618,1,Value 1,2012-01-30 14:21:21+00:00,Value 1
